Date,SMA5-20,SMA8-15,SMA20-50,EMA5-20,EMA8-15,EMA20-50,MACD12-26,AO14,ADX14,WD14,PPO12_26,RSI14,MFI14,TSI,SO14,CMO14,ATRP14,PVO14,FI13,FI50,ADL,OBV,Open,High,Low,Close,Volume
2018-10-14,-8.108389244291892,-3.0779248204983847,-0.6226482709191956,-6.862104040184013,-3.077891906573429,-2.0542746396964775,-3.72062770661401,-71.42857142857143,13.824535894805198,-4.882739042583309,-3.7206277066140103,36.62479858357996,29.491256003303505,-16.702113507256588,0.05377456049638087,-47.384774728120114,18.08817799689858,-30.342135664202385,-744897.2996539007,-130393.71011335909,61521139.48562857,70607783.9798001,52.84,53.35,50.85,51.14,262989.22
2018-10-15,-9.207000939489905,-3.2107730000355237,-0.8517934581986174,-5.995674848994683,-2.740508213862812,-2.307908922796614,-3.7615436856193014,-21.42857142857143,13.166991639880834,-0.8787442536610595,-3.7615436856193014,42.85683463303848,35.76502674938004,-17.26704031286338,0.3364595545134823,-27.582846003898602,17.197316582402735,-17.424044271176804,137420.24565875682,86939.07148524323,60981362.23218458,72588793.8998001,51.14,58.09,50.86,53.49,1981009.92
2018-10-16,-7.924317531243477,-3.696080186146407,-0.9316834627914203,-4.681941612480225,-2.5181656711707507,-2.4803863067538687,-3.7546543512767148,-21.428571428571438,12.556414831736781,-0.8202367437269213,-3.7546543512767143,42.77972202796885,29.15001495219309,-18.253740410583863,0.3317702227432597,-20.278969957081504,17.120804532814905,-22.003179398481272,138867.09646065623,74647.01438807057,60981362.23218458,72588793.8998001,53.49,53.49,53.45,53.45,0.0
2018-10-17,-7.0549797007512005,-4.226975463736588,-1.476922115828434,-3.988932887252956,-2.3964287725444158,-2.811633602124858,-3.7377750658872704,-21.428571428571423,12.341171099664829,-1.6673625423241765,-3.73777506588727,41.728566956907024,30.460386788695175,-19.498137454139652,0.27080890973036364,-27.361563517915293,17.20519153278783,-15.076549352787072,88224.49744119261,58017.97487785615,61076937.1967498,72330179.28980011,53.1,53.22,52.3,52.93,258614.61
2018-10-18,-6.6096830657414305,-4.913566726366241,-2.0168269147057973,-3.984273732514671,-2.503914667031503,-3.2082143661301052,-3.8465230402675505,-21.42857142857143,12.537160680294424,-2.618986082813465,-3.8465230402675505,39.38372883811344,23.889059848070588,-21.665504898390992,0.13364595545134822,-35.71804313519198,17.51451788722121,-11.740882650585924,2064.582394325103,41097.26477099255,60960906.24683383,71966819.20980011,52.93,53.33,50.95,51.76,363360.08
2018-10-19,-5.374032674118659,-3.8516591950102304,-2.54053827567425,-3.259038601820362,-1.8839530687303556,-3.465583384926335,-3.7545080710041496,-21.428571428571427,12.719151005164761,-2.4422203531647844,-3.75450807100415,41.58916500129642,21.459074959840862,-22.10668802894629,0.21922626025791375,-27.23404255319145,17.1980632990684,-9.25553437642537,30371.681302810648,48814.63190935195,61007347.45098017,72167249.6698001,51.76,53.12,51.48,52.49,200430.46
2018-10-20,-4.909868456666455,-3.175946711809502,-2.9323982540828215,-2.668259473010739,-1.3906517161881982,-3.601359617223854,-3.6889584727967883,-21.42857142857143,12.88814202111579,-2.276734116963312,-3.6889584727967883,42.72658767359266,24.762395293556892,-22.025486747477135,0.2626025791324738,-27.03133297928837,17.010489234886364,-8.1608660065847,31032.66998388769,44242.62733803643,61089474.19138834,72276012.1098001,52.49,52.98,52.0,52.86,108762.44
2018-10-21,-4.651289601395915,-2.6717027030364395,-3.1551116540572526,-2.486065000141946,-1.1327970632846869,-3.7159878435834397,-3.6857456520114513,-21.428571428571427,12.916635155615902,-1.8986482552489763,-3.685745652011451,41.298752126691205,25.23570678455586,-22.556993791126192,0.19109026963657708,-37.82894736842101,17.145957610976367,-6.659302398606948,7654.316224157687,21679.61507080588,60997492.80147843,72163815.0298001,52.86,53.26,52.15,52.25,112197.08
2018-10-22,-4.437572053360667,-1.7784925898734445,-3.311476221987087,-2.4762309075409585,-0.8703998063875124,-3.8283853878278515,-3.702226350659206,-14.285714285714285,13.175914090280596,-2.301439816944364,-3.702226350659206,40.11539480112017,21.9974319824274,-24.40432493951014,0.14376590330788838,-37.244050913115615,17.159960948593096,-6.727450916576723,-8205.129499140627,16163.154212968431,60882351.239097476,71943999.31980011,52.25,52.55,51.5,51.75,219815.71
2018-10-23,-3.8702678850502674,-1.2397212980980707,-3.3177259427539503,-2.1124933489164754,-0.6511105246432628,-3.827897779480227,-3.1865834145432994,-7.142857142857142,13.493626905593095,-2.3421410492337564,-3.1865834145432994,41.275147956821606,25.8201512760119,-25.259753584702718,0.2083333333333337,-31.503716409376747,16.791083058747848,-12.10585187783593,14768.228001796826,21190.975206225696,60942746.18619425,72178029.73980011,51.75,52.53,51.29,52.07,234030.42
2018-10-24,-3.5462041933217323,-0.7838806045722778,-3.3170306176441193,-1.9079836907082557,-0.4927577187775545,-3.819916824923274,-2.8599306311636234,28.571428571428573,13.766455905932384,-2.250131292642398,-2.8599306311636234,40.84916886383619,29.607553077371833,-25.25503561576461,0.4494773519163753,12.067352666043002,16.034691957642355,-14.03642955194709,176536.6449012726,12135.690009449278,60861293.96809298,72056619.82980011,52.07,52.57,51.78,51.91,121409.91
2018-10-25,-3.388600457768111,-0.3440644889733574,-3.7318486193664975,-1.849593338432795,-0.3929546372289165,-3.9493896046858037,-2.6006065517738,7.142857142857142,14.122956974243737,-2.4284303347597094,-2.6006065517738,40.015273816984035,31.60883457558343,-26.023541467350867,0.1999999999999994,-14.025085518814167,15.301147581830474,-14.395644006957731,116853.82840717124,83974.50296564768,60791848.23331037,71950136.36980012,51.91,51.99,51.53,51.61,106483.46
2018-10-26,-3.0857613353543307,-0.5055732484076587,-4.069579578501424,-1.6711633025501962,-0.45753177219952645,-4.026232271416954,-2.27324350092967,7.142857142857142,14.635856117048471,-2.783569773409911,-2.27324350092967,40.015273816984035,37.932201909498104,-26.54954045939525,0.1999999999999994,-14.025085518814167,14.533449977963187,-11.957842495322733,100160.42434900392,81433.43293009698,60762459.72048986,71950136.36980012,51.61,52.27,51.1,51.61,229230.4
2018-10-27,-2.5829285741180144,-0.5689430769819666,-4.5038760804843925,-1.4448673609742657,-0.48117677228593175,-4.1175244657715755,-2.0915617555488124,7.142857142857142,15.112119606795726,-2.718063700928167,-2.091561755548812,39.76422464845763,28.02409336573193,-26.703113899723753,0.16595744680851077,5.454545454545459,13.842044292804248,-51.39597862725307,94239.07948792214,80561.26945606539,60747019.286576815,71831759.70980012,51.61,51.79,51.33,51.53,118376.66
2018-10-28,-2.118298534069165,-0.7347301408738803,-5.14232878092303,-1.26452340627296,-0.5316843064348284,-4.26064348366717,-1.9464279164971567,-92.85714285714286,15.62937123378034,-2.827195782800607,-1.9464279164971565,39.36527123533648,29.090095162400914,-27.22243792313409,0.0,-42.276422764227675,13.172322020877871,-47.59092598199451,-25279.66272549947,80897.13251670205,60731353.87075863,71708674.29980013,51.53,51.72,51.17,51.41,123085.41
2018-10-29,-2.483104550762909,-1.2981953209173525,-5.834228725130362,-2.5887880334009075,-1.2091823548353131,-4.698755559713896,-2.325787038240212,-92.85714285714286,17.51256864634896,-6.732574860722049,-2.3257870382402115,31.236969159938724,23.902008050472446,-31.057068225661034,0.0,-63.449163449163414,13.685752526518236,-39.56116634747033,-324402.9731571476,-8258.266719432153,60440193.763270706,71074251.74980013,51.41,51.54,47.4,48.52,634422.55
2018-10-30,-2.72409599011526,-1.407723771306178,-6.437068962402866,-3.0743399398923046,-1.457545118750365,-5.007820842323879,-2.4572895792133576,-85.71428571428572,19.261251958019816,-6.405348325283359,-2.4572895792133576,32.99000946453204,36.396920749204654,-33.63699760682153,0.07709750566893346,-53.62318840579713,13.264465913728207,-42.37235822411882,-267045.74984228,-5219.321953472368,60457338.53887071,71217124.87980013,48.52,49.19,48.44,48.86,142873.13
2018-10-31,-3.4578734754624376,-1.5368427196554963,-6.461644157581683,-3.113877321246335,-1.4725744157767071,-5.029225967417852,-2.433684047263846,-64.28571428571428,20.09874365871105,-4.872508799117062,-2.433684047263846,35.889104977556485,39.30631668756293,-34.18523678633532,0.20737327188940077,-33.52435530085956,12.804711017924902,-40.04293734519148,-190871.58200090867,10709.000014539319,60551021.950510055,71526026.93980013,48.86,50.27,47.83,49.42,308902.06
2018-11-01,-3.7410978150283314,-1.6100950273366235,-6.652158654698453,-2.5836813669486105,-1.275610316785626,-5.00179470673965,-2.272530592456574,-64.28571428571428,20.83321909713463,-4.559055276840447,-2.2725305924565746,39.55995995241309,48.77632351808513,-33.352711831962296,0.3755760368663587,-33.524355300859696,12.335158297359396,-38.18344043471788,-145872.09481863969,16910.501168549097,60657015.019205704,71700158.40980013,49.42,50.33,49.41,50.15,174131.47
2018-11-02,-3.7136256867198507,-1.655884767228215,-6.693884648406261,-1.6692240419818059,-0.9194054075684333,-4.817356922501024,-1.9037537467747252,-64.28571428571429,20.615850002521576,-2.803652468365363,-1.9037537467747252,43.83011143833906,45.14432142182524,-31.050269575709418,0.5829493087557595,-24.101198402130553,11.85939058620884,-34.75881538072644,-86245.16128535966,14511.948155541644,60716963.903491415,71967203.43980013,50.15,51.62,50.15,51.05,267045.03
2018-11-03,-2.837499271689082,-1.653475432959788,-6.537255129750384,-1.0232060350641472,-0.7095015121660282,-4.617337745724354,-1.5937114227302318,-57.14285714285715,20.414007271809453,-2.676793206027111,-1.5937114227302318,42.431136345654494,37.04770627687703,-29.430315670101074,0.5737265415549585,-21.810699588477437,11.62298314045668,-35.84659709875115,-80669.92365648085,3258.6671236348247,60688578.9329651,71838795.23980013,51.05,51.24,50.29,50.66,128408.2
2018-11-04,-0.8783593605931954,-1.1910894058734252,-6.4112299620678135,1.2692132223876758,0.22712713992008654,-4.066433732314627,-0.7228502292944498,42.85714285714286,20.07518088009917,3.071899379577113,-0.7228502292944498,55.64469399746055,41.2581779490041,-19.99453779575749,1.0,22.51720747295969,10.847340907055568,-29.23423442068991,286988.844627186,100730.84167538429,60901414.38613583,72472545.49980013,50.66,55.81,50.48,54.04,633750.26
2018-11-05,0.6949027524360498,-0.8439985938781633,-6.29853949546207,2.2859743397760544,0.722385821443164,-3.6331993144939956,-0.12677152832401167,42.85714285714286,19.760556373511047,2.8644116015535133,-0.12677152832401167,53.4555180895998,53.96502981791953,-12.386503612441041,0.8985507246376807,13.544668587896226,10.915260623497005,-21.568850328863924,204530.91335091178,85190.8854345571,60818910.64354516,72042188.13980013,54.04,54.63,52.7,53.48,430357.36
2018-11-06,2.6341765536996338,0.41616487315955064,-6.154527984539191,4.037252959551043,1.7297238159345412,-2.97418939539276,0.6473220669310155,57.142857142857146,20.01343275711732,4.267339617294845,0.6473220669310155,60.68374777124299,56.82797981208042,-2.498051215896217,1.0,31.545741324921156,10.639197940414515,-7.840826190953446,332706.00620120036,143125.79526299218,61180020.07123747,72433390.01980013,53.48,56.01,53.41,55.91,391201.88
2018-11-07,3.517277345334423,1.3973761045940765,-5.946277853875465,3.7949784212004167,1.9421326390431948,-2.5862053199129393,0.9286246831373333,57.142857142857146,20.36930109140684,4.27282080655383,0.9286246831373333,53.24474166008125,47.93346722822906,1.604863192180211,0.7253044654939113,15.752949340735633,11.23115950661719,-2.167027803111184,174044.3655917813,99846.26508671773,60991326.60864961,72099711.74980013,55.91,56.33,53.2,53.88,333678.27
