Date,Open,Close,High,Low,Volume
2020-11-19,73.55,81.76,83.51,71.53,117497.13442469
2020-11-18,76.37,73.63,77.17,68.1,97618.02366874
2020-11-17,73.8,76.35,77.03,71.4,111992.59892324
2020-11-16,62.36,73.84,74.53,62.2,172049.80242561
2020-11-15,63.89,62.39,64.45,61.01,27665.01177049
2020-11-14,66.01,63.96,66.31,61.75,55099.47887105
2020-11-13,60.74,65.83,66.63,60.24,96069.27552008
2020-11-12,59.23,60.77,60.8,57.72,54201.75648518
2020-11-11,58.08,59.29,60.59,57.93,46139.85883936
2020-11-10,59.25,58.01,59.62,57.14,30869.44844606
2020-11-09,60.97,59.22,61.82,57.52,41465.3179934
2020-11-08,59.0,61.0,62.03,58.68,28250.90952512
2020-11-07,63.33,59.02,64.84,57.0,84360.21001199
2020-11-06,59.03,63.42,63.75,58.76,104680.2836144
2020-11-05,54.75,59.02,59.79,54.75,69752.91865669
2020-11-04,53.96,54.75,55.25,51.69,32201.50680376
2020-11-03,53.88,53.95,54.37,51.07,33491.3692257
2020-11-02,55.76,53.88,56.86,53.13,31450.86535865
2020-11-01,55.76,55.6,56.24,54.17,14616.73046678
2020-10-31,54.03,55.82,56.43,53.67,23929.15238831
2020-10-30,54.89,54.08,55.8,52.33,28337.75543675
2020-10-29,55.84,54.9,56.55,53.43,26513.36557932
2020-10-28,57.81,55.88,60.51,54.75,66020.5849597
2020-10-27,57.04,57.95,59.12,56.66,30884.83249983
2020-10-26,58.89,56.9,59.38,55.04,43358.05865469
2020-10-25,59.08,58.89,59.98,56.58,48263.86328933
2020-10-24,55.44,59.28,59.6,54.96,33514.62155169
2020-10-23,54.4,55.43,56.99,53.16,42849.38162688
2020-10-22,54.65,54.41,55.45,53.67,4458.41558805
2020-10-21,46.95,53.13,55.06,46.95,65769.44235156
2020-10-20,48.0,46.93,48.4,46.5,21741.3511899
2020-10-19,47.57,48.0,48.46,46.83,14809.55104384
2020-10-18,46.94,47.59,47.95,46.85,18072.7402715
2020-10-17,47.62,46.94,47.68,46.38,13515.19812519
2020-10-16,49.43,47.62,49.88,45.42,41134.08336178
2020-10-15,49.81,49.57,50.18,48.88,14765.23435371
2020-10-14,49.93,49.82,51.06,49.34,15399.71649305
2020-10-13,50.62,49.95,50.67,48.9,33293.89317014
2020-10-12,50.49,50.62,51.54,49.33,30400.04898015
2020-10-11,48.86,50.51,51.23,48.74,26328.92914247
2020-10-10,47.88,48.85,50.49,47.86,27961.53604308
2020-10-09,47.27,47.8,48.17,46.66,19799.03165446
2020-10-08,46.61,47.25,47.5,45.52,16120.31153224
2020-10-07,45.97,46.61,46.9,45.07,9874.63471504
2020-10-06,46.38,46.01,48.2,45.57,22774.06715958
2020-10-05,46.71,46.37,47.05,45.57,16300.0496511
2020-10-04,45.57,46.72,47.03,45.36,16045.80297318
2020-10-03,44.96,45.53,45.97,44.79,12026.80074199
2020-10-02,46.05,44.92,46.96,43.3,28177.11690784
2020-10-01,46.31,46.25,48.47,45.22,35527.24372327
2020-09-30,45.66,46.24,46.65,45.48,17335.47048508
2020-09-29,46.02,46.02,46.02,46.02,0.0
2020-09-28,46.02,46.02,46.02,46.02,0.0
2020-09-27,46.02,46.02,46.02,46.02,0.0
2020-09-26,46.02,46.02,46.02,46.02,0.0
2020-09-25,45.01,46.02,46.53,44.01,15975.74220971
2020-09-24,42.92,44.96,45.21,42.61,18767.50049496
2020-09-23,44.44,42.89,45.1,42.3,22379.84279975
2020-09-22,43.17,44.49,44.78,42.8,22737.70386532
2020-09-21,46.92,43.15,47.65,41.71,41785.23330075
2020-09-20,48.51,47.08,48.51,46.26,13613.24509137
2020-09-19,48.54,48.5,48.99,48.04,9552.56992063
2020-09-18,48.87,48.54,49.04,47.57,16061.99772923
2020-09-17,47.73,48.89,49.57,47.68,16512.4804304
2020-09-16,48.19,47.73,48.76,46.98,27210.89729147
2020-09-15,49.16,48.31,50.31,48.18,32381.53022576
2020-09-14,48.16,49.09,49.61,47.16,23690.74515984
2020-09-13,50.84,48.17,50.94,47.3,23571.98966417
2020-09-12,48.98,50.82,51.31,48.43,14343.96994427
2020-09-11,48.7,48.98,49.35,47.41,14144.59178388
2020-09-10,47.88,48.7,49.44,47.88,23786.16907423
2020-09-09,47.39,47.86,48.86,46.59,17964.19201952
2020-09-08,48.9,47.48,49.31,46.05,26635.36902033
2020-09-07,47.91,48.82,49.11,45.2,27031.78349985
2020-09-06,47.56,47.92,49.1,46.32,26643.03728991
2020-09-05,50.41,47.77,51.29,45.4,64940.02408314
2020-09-04,47.49,50.38,52.48,46.37,63119.25609978
2020-09-03,58.09,47.5,58.63,45.53,92382.2291638
2020-09-02,62.73,58.1,63.11,56.67,55292.51567062
2020-09-01,61.05,62.74,64.36,59.56,47873.77353808
2020-08-31,62.88,60.97,63.65,60.57,25968.86120029
2020-08-30,57.05,62.91,62.91,57.0,36471.18207642
2020-08-29,57.44,56.99,58.26,56.99,20177.54716526
2020-08-28,56.15,57.41,58.23,55.41,29539.52911718
2020-08-27,58.15,56.15,59.27,53.7,39585.23785634
2020-08-26,58.34,58.1,59.2,57.0,28107.51107274
2020-08-25,62.28,58.33,62.29,56.7,60109.15373322
2020-08-24,60.69,62.1,62.98,60.0,29347.46185423
2020-08-23,60.25,60.59,61.63,58.1,26267.98103859
2020-08-22,59.05,60.26,60.51,57.78,37218.98757337
2020-08-21,62.86,59.13,63.91,58.85,52885.11996981
2020-08-20,62.24,62.86,63.76,61.04,46609.57942439
2020-08-19,65.79,62.09,67.14,58.9,145228.71798716
2020-08-18,67.32,65.47,68.42,63.52,131382.25769382
2020-08-17,63.98,67.35,68.95,61.34,123983.06813487
2020-08-16,60.03,63.93,64.65,58.12,52119.73836657
2020-08-15,56.91,59.91,60.88,56.54,62045.3630706
2020-08-14,57.27,56.85,57.94,55.9,52391.54499729
2020-08-13,54.56,57.25,57.36,51.98,36732.37048081
2020-08-12,54.11,54.5,55.09,51.65,28202.54815032
2020-08-11,58.38,54.11,59.73,52.5,43676.92741419
2020-08-10,57.09,58.31,59.41,56.61,24269.68643131
2020-08-09,58.45,57.01,58.75,56.1,15542.77433732
2020-08-08,57.2,58.44,58.49,56.52,23162.0537427
2020-08-07,59.0,57.22,61.04,54.75,37520.88350797
2020-08-06,58.89,59.08,60.73,57.73,29042.15741969
2020-08-05,57.73,58.89,59.84,56.85,25487.83447376
